iter	Passed	Remaining
0	330	98708
1	482	71898
2	635	62874
3	848	62787
4	965	56954
5	1172	57452
6	1514	63381
7	1752	63962
8	1962	63440
9	2231	64718
10	2428	63801
11	2697	64748
12	2959	65346
13	3178	64925
14	3477	66079
15	3729	66203
16	3968	66070
17	4233	66320
18	4445	65745
19	4619	64675
20	4981	66182
21	5330	67353
22	5562	66990
23	5794	66631
24	5994	65943
25	6189	65228
26	6368	64390
27	6521	63355
28	6751	63090
29	6934	62414
30	7112	61718
31	7302	61161
32	7430	60118
33	7649	59847
34	7882	59679
35	8039	58953
36	8225	58466
37	8404	57945
38	8625	57724
39	8829	57394
40	9069	57290
41	9316	57229
42	9512	56851
43	9678	56310
44	9830	55705
45	9998	55207
46	10207	54944
47	10372	54457
48	10541	54000
49	10705	53526
50	10856	53007
51	11062	52761
52	11199	52195
53	11364	51772
54	11490	51185
55	11718	51061
56	11864	50578
57	12072	50369
58	12187	49783
59	12350	49403
60	12511	49021
61	12663	48612
62	12790	48115
63	12918	47637
64	13058	47210
65	13213	46847
66	13362	46470
67	13557	46254
68	13668	45760
69	13805	45361
70	13948	44988
71	14139	44774
72	14338	44585
73	14474	44205
74	14643	43930
75	14788	43588
76	14977	43376
77	15114	43017
78	15272	42723
79	15436	42449
80	15580	42126
81	15748	41868
82	15899	41568
83	16025	41209
84	16208	40997
85	16356	40700
86	16520	40447
87	16667	40154
88	16798	39825
89	16984	39629
90	17129	39340
91	17278	39064
92	17404	38738
93	17551	38464
94	17706	38209
95	17918	38077
96	18164	38014
97	18457	38044
98	18659	37885
99	18790	37581
100	18997	37430
101	19275	37417
102	19479	37257
103	19598	36935
104	19734	36650
105	19895	36412
106	20010	36093
107	20143	35811
108	20302	35576
109	20441	35308
110	20624	35117
111	20813	34937
112	20986	34729
113	21133	34480
114	21320	34297
115	21513	34124
116	21672	33897
117	21807	33634
118	21951	33387
119	22096	33144
120	22240	32901
121	22360	32624
122	22486	32359
123	22588	32060
124	22680	31753
125	22795	31479
126	22912	31211
127	23018	30931
128	23129	30659
129	23235	30385
130	23332	30100
131	23435	29827
132	23559	29582
133	23677	29332
134	23790	29076
135	23900	28821
136	24014	28572
137	24112	28306
138	24199	28029
139	24310	27783
140	24423	27541
141	24526	27289
142	24644	27057
143	24750	26812
144	24847	26561
145	24943	26310
146	25078	26102
147	25191	25872
148	25298	25637
149	25406	25406
150	25511	25173
151	25623	24948
152	25726	24717
153	25825	24483
154	25941	24267
155	26049	24046
156	26179	23845
157	26277	23616
158	26388	23400
159	26500	23187
160	26613	22977
161	26742	22780
162	26881	22593
163	26990	22381
164	27085	22161
165	27180	21941
166	27300	21741
167	27420	21545
168	27537	21345
169	27657	21150
170	27786	20961
171	27891	20756
172	28007	20560
173	28126	20367
174	28238	20170
175	28352	19975
176	28458	19776
177	28546	19565
178	28655	19370
179	28767	19178
180	28890	18994
181	28995	18799
182	29091	18599
183	29204	18411
184	29311	18220
185	29399	18019
186	29512	17833
187	29616	17644
188	29739	17466
189	29857	17286
190	29982	17110
191	30092	16927
192	30197	16741
193	30315	16563
194	30442	16392
195	30545	16207
196	30658	16029
197	30768	15850
198	30867	15666
199	30973	15486
200	31088	15312
201	31199	15136
202	31301	14957
203	31412	14782
204	31503	14599
205	31596	14417
206	31702	14242
207	31820	14074
208	31919	13897
209	32031	13727
210	32134	13554
211	32245	13384
212	32335	13207
213	32426	13031
214	32522	12857
215	32612	12682
216	32686	12502
217	32744	12316
218	32809	12134
219	32876	11954
220	32932	11772
221	32988	11590
222	33055	11413
223	33123	11238
224	33186	11062
225	33269	10893
226	33360	10728
227	33422	10554
228	33485	10382
229	33553	10211
230	33630	10045
231	33698	9877
232	33765	9709
233	33835	9543
234	33898	9376
235	33964	9210
236	34030	9046
237	34099	8882
238	34180	8723
239	34267	8566
240	34343	8407
241	34419	8249
242	34489	8090
243	34548	7929
244	34607	7769
245	34665	7609
246	34727	7451
247	34801	7297
248	34864	7140
249	34931	6986
250	35005	6833
251	35067	6679
252	35122	6524
253	35192	6373
254	35253	6221
255	35315	6069
256	35379	5919
257	35436	5768
258	35508	5621
259	35598	5476
260	35671	5330
261	35741	5183
262	35805	5037
263	35871	4891
264	35949	4748
265	36013	4603
266	36075	4458
267	36133	4314
268	36188	4170
269	36256	4028
270	36320	3886
271	36386	3745
272	36452	3605
273	36524	3465
274	36604	3327
275	36663	3188
276	36729	3049
277	36793	2911
278	36855	2774
279	36916	2636
280	37004	2502
281	37074	2366
282	37137	2230
283	37221	2097
284	37285	1962
285	37342	1827
286	37394	1693
287	37442	1560
288	37476	1426
289	37504	1293
290	37530	1160
291	37553	1028
292	37579	897
293	37601	767
294	37624	637
295	37647	508
296	37671	380
297	37695	252
298	37720	126
299	37743	0
